session_id,duration,event_count,prop_Information,prop_Warning,prop_Error,top_transition_src,top_transition_dest,top_transition_freq,error_persistence,label
1,0.5,2,1.0,0.0,0.0,16394,16384,1.0,0,0
2,0.5,2,1.0,0.0,0.0,16394,16384,1.0,0,0
3,1.0166666666666666,3,1.0,0.0,0.0,256,256,1.0,0,0
4,0.55,2,1.0,0.0,0.0,16394,16384,1.0,0,0
5,0.0,1,1.0,0.0,0.0,0,0,0.0,0,0
6,1.1666666666666667,3,1.0,0.0,0.0,256,16394,0.5,0,0
7,0.5333333333333333,2,1.0,0.0,0.0,16394,16384,1.0,0,0
8,8.983333333333333,6,1.0,0.0,0.0,16394,16384,0.6,0,0
9,0.5166666666666667,2,1.0,0.0,0.0,16394,16384,1.0,0,0
10,0.0,1,0.0,1.0,0.0,0,0,0.0,0,0
11,0.5,2,1.0,0.0,0.0,16394,16384,1.0,0,0
12,2.6166666666666667,4,1.0,0.0,0.0,16394,16384,0.6666666666666666,0,0
13,0.5,2,1.0,0.0,0.0,16394,16384,1.0,0,0
14,5.466666666666667,29,0.3793103448275862,0.5862068965517241,0.034482758620689655,10010,10010,0.5357142857142857,0,0
15,0.5,2,1.0,0.0,0.0,16394,16384,1.0,0,0
16,0.5166666666666667,2,1.0,0.0,0.0,16394,16384,1.0,0,0
17,0.0,1,1.0,0.0,0.0,0,0,0.0,0,0
18,0.5,2,1.0,0.0,0.0,16394,16384,1.0,0,0
19,1.6833333333333333,5,1.0,0.0,0.0,16394,16384,0.5,0,0
20,0.5,2,1.0,0.0,0.0,16394,16384,1.0,0,0
21,4.183333333333334,4,1.0,0.0,0.0,16394,16384,0.6666666666666666,0,0
22,5.0,2,1.0,0.0,0.0,1001,1001,1.0,0,0
23,0.5,2,1.0,0.0,0.0,16394,16384,1.0,0,0
24,0.5,2,1.0,0.0,0.0,16394,16384,1.0,0,0
25,0.5,2,1.0,0.0,0.0,16394,16384,1.0,0,0
26,0.5,2,1.0,0.0,0.0,16394,16384,1.0,0,0
